type,time,latitude,longitude,altitude (m),color,sym,name,desc
T,2017-10-03 14:51:42,41.455916427,-96.444738647,357.4,#efebe7,http://maps.google.com/mapfiles/kml/shapes/placemark_circle.png,0,0
T,2017-10-03 14:51:57,41.459655091,-96.444773097,357.1,#efebe7,http://maps.google.com/mapfiles/kml/shapes/placemark_circle.png,0,0
T,2017-10-03 14:52:02,41.460964428,-96.444773348,357.4,#efebe7,http://maps.google.com/mapfiles/kml/shapes/placemark_circle.png,0,0
T,2017-10-03 14:52:19,41.465505324,-96.444948697,357.5,#efebe7,http://maps.google.com/mapfiles/kml/shapes/placemark_circle.png,0,0
T,2017-10-03 14:52:28,41.467834991,-96.445752019,357.4,#efebe7,http://maps.google.com/mapfiles/kml/shapes/placemark_circle.png,0,0
T,2017-10-03 14:52:37,41.470005233,-96.447167387,358.0,#efebe7,http://maps.google.com/mapfiles/kml/shapes/placemark_circle.png,0,0
T,2017-10-03 14:52:46,41.471902225,-96.449137637,358.3,#efebe7,http://maps.google.com/mapfiles/kml/shapes/placemark_circle.png,0,0
T,2017-10-03 14:52:55,41.473467713,-96.451585321,358.6,#efebe7,http://maps.google.com/mapfiles/kml/shapes/placemark_circle.png,0,0
T,2017-10-03 14:53:04,41.474618716,-96.454411447,358.9,#efebe7,http://maps.google.com/mapfiles/kml/shapes/placemark_circle.png,0,0
T,2017-10-03 14:53:13,41.475337548,-96.457492216,359.2,#efebe7,http://maps.google.com/mapfiles/kml/shapes/placemark_circle.png,0,0
T,2017-10-03 14:53:23,41.475639129,-96.461052010,359.6,#efebe7,http://maps.google.com/mapfiles/kml/shapes/placemark_circle.png,0,0
T,2017-10-03 14:53:48,41.476201974,-96.469958536,361.0,#efebe7,http://maps.google.com/mapfiles/kml/shapes/placemark_circle.png,0,0
T,2017-10-03 14:54:05,41.476290487,-96.476036087,361.3,#efebe7,http://maps.google.com/mapfiles/kml/shapes/placemark_circle.png,0,0
T,2017-10-03 14:54:16,41.476279003,-96.479955297,362.2,#efebe7,http://maps.google.com/mapfiles/kml/shapes/placemark_circle.png,0,0
T,2017-10-03 14:54:20,41.476274813,-96.481374688,362.6,#efebe7,http://maps.google.com/mapfiles/kml/shapes/placemark_circle.png,0,0
T,2017-10-03 14:54:23,41.476274813,-96.482445477,362.6,#efebe7,http://maps.google.com/mapfiles/kml/shapes/placemark_circle.png,0,0
T,2017-10-03 14:54:24,41.476273891,-96.482803384,362.8,#efebe7,http://maps.google.com/mapfiles/kml/shapes/placemark_circle.png,0,0
T,2017-10-03 14:54:38,41.476273807,-96.487824479,362.2,#efebe7,http://maps.google.com/mapfiles/kml/shapes/placemark_circle.png,0,0
