type,latitude,longitude,altitude (m),slope (%),distance (km),distance_interval (m),color,width,opacity,name,desc
T,41.828217097,-103.708513956,1256.4,,0.000,,#cce600,4,1.00,ASC 2018 Stage 2,
T,41.828599982,-103.709400510,1257.2,1.0,0.085,85.05,,,,,
T,41.828889996,-103.710050108,1259.0,2.9,0.148,62.85,,,,,
T,41.829213956,-103.710757289,1260.8,2.6,0.217,68.89,,,,,
T,41.829640847,-103.711692542,1264.6,4.1,0.308,91.02,,,,,
T,41.830014344,-103.712507347,1269.4,6.0,0.387,79.39,,,,,
T,41.830378203,-103.713311925,1273.2,5.0,0.465,78.11,,,,,
T,41.831615455,-103.715990530,1270.2,-1.2,0.727,261.53,,,,,
T,41.832323391,-103.717361474,1265.7,-3.2,0.865,138.39,,,,,
T,41.833997928,-103.719882835,1260.5,-1.9,1.145,280.10,,,,,
T,41.834415598,-103.720412236,1257.8,-4.1,1.209,63.92,,,,,
T,41.834845673,-103.720951192,1254.6,-5.0,1.275,65.47,,,,,
T,41.835277174,-103.721506409,1248.9,-8.5,1.341,66.51,,,,,
T,41.835714541,-103.722063638,1247.3,-2.5,1.408,67.10,,,,,
T,41.836160710,-103.722623885,1244.1,-4.6,1.476,67.98,,,,,
T,41.836610567,-103.723192513,1239.0,-7.4,1.545,68.76,,,,,
T,41.837067464,-103.723769272,1235.4,-5.2,1.615,69.79,,,,,
T,41.837524362,-103.724357178,1228.9,-9.2,1.685,70.43,,,,,
T,41.837985953,-103.724948186,1226.8,-3.0,1.756,70.98,,,,,
T,41.839022711,-103.726299517,1227.0,0.1,1.917,160.81,,,,,
T,41.839693598,-103.727170732,1228.2,1.2,2.021,103.87,,,,,
T,41.840075226,-103.727659732,1231.9,6.3,2.080,58.71,,,,,
T,41.842210097,-103.730332637,1232.1,0.1,2.404,324.82,,,,,
T,41.844261568,-103.732926249,1229.7,-0.8,2.718,313.56,,,,,
T,41.845557326,-103.734468520,1227.1,-1.3,2.911,192.66,,,,,
T,41.846120171,-103.734913012,1225.9,-1.7,2.983,72.60,,,,,
T,41.846514037,-103.735153573,1225.2,-1.5,3.031,48.09,,,,,
T,41.847340912,-103.735501505,1223.1,-2.2,3.128,96.28,,,,,
T,41.848851247,-103.735693116,1219.5,-2.1,3.296,168.51,,,,,
T,41.849720199,-103.735684985,1218.0,-1.5,3.393,96.52,,,,,
T,41.852111723,-103.735705856,1213.3,-1.8,3.658,265.63,,,,,
T,41.853200784,-103.735712478,1211.0,-1.9,3.779,120.96,,,,,
T,41.856881278,-103.735751370,1207.7,-0.8,4.188,408.81,,,,,
T,41.859492492,-103.735781210,1204.4,-1.1,4.478,290.04,,,,,
T,41.860578619,-103.735795962,1202.6,-1.5,4.599,120.64,,,,,
T,41.862530848,-103.735821024,1200.0,-1.2,4.816,216.85,,,,,
T,41.864424152,-103.735843906,1198.4,-0.8,5.026,210.30,,,,,
T,41.864754902,-103.735851953,1198.1,-0.9,5.063,36.74,,,,,
T,41.865154719,-103.735857569,1197.8,-0.5,5.107,44.41,,,,,
T,41.865613377,-103.735858826,1197.9,0.1,5.158,50.94,,,,,
T,41.865676236,-103.735797319,1197.9,0.0,5.167,8.65,,,,,
T,41.865652482,-103.735239207,1197.9,-0.1,5.213,46.41,,,,,
T,41.865727703,-103.734302721,1197.4,-0.6,5.291,78.20,,,,,
T,41.865731818,-103.731466761,1196.4,-0.4,5.527,235.46,,,,,
T,41.865874525,-103.724216276,1188.7,-1.3,6.129,602.18,,,,,
T,41.865962922,-103.714186301,1187.6,-0.1,6.962,832.79,,,,,
T,41.866148614,-103.700148461,1186.4,-0.1,8.127,1165.66,,,,,
T,41.866197029,-103.694960092,1185.5,-0.2,8.558,430.79,,,,,
T,41.866805791,-103.694917535,1185.5,-0.1,8.626,67.71,,,,,
T,41.869563455,-103.694839953,1185.4,-0.0,8.932,306.36,,,,,
T,41.875842506,-103.694772595,1188.0,0.4,9.630,697.44,,,,,
T,41.877204701,-103.694716842,1188.0,0.0,9.781,151.37,,,,,
T,41.878163176,-103.694561287,1188.2,0.2,9.888,107.24,,,,,
T,41.879429190,-103.694353166,1189.0,0.6,10.030,141.67,,,,,
T,41.880886648,-103.693932414,1189.3,0.2,10.196,165.61,,,,,
T,41.882096236,-103.693478235,1189.4,0.1,10.335,139.54,,,,,
T,41.883439647,-103.693211617,1189.1,-0.2,10.486,150.85,,,,,
T,41.884551480,-103.692634078,1189.1,-0.0,10.618,132.47,,,,,
T,41.885056372,-103.691876968,1189.4,0.4,10.703,84.22,,,,,
T,41.885350804,-103.691121921,1189.4,0.0,10.773,70.69,,,,,
T,41.885351627,-103.690369388,1189.2,-0.3,10.836,62.46,,,,,
T,41.885195298,-103.689432688,1189.1,-0.2,10.915,79.66,,,,,
T,41.884819835,-103.688665173,1189.1,-0.1,10.992,76.14,,,,,
T,41.884389258,-103.688195101,1188.6,-0.8,11.053,61.72,,,,,
T,41.883776360,-103.687865287,1188.2,-0.5,11.127,73.37,,,,,
T,41.883122878,-103.687765597,1188.2,0.0,11.200,73.05,,,,,
T,41.882540614,-103.687723453,1188.5,0.4,11.264,64.77,,,,,
T,41.881658240,-103.687731526,1188.5,0.1,11.362,98.01,,,,,
T,41.881355461,-103.687928049,1188.7,0.6,11.400,37.38,,,,,
T,41.881159863,-103.688282164,1188.8,0.1,11.436,36.55,,,,,
T,41.881123456,-103.688833637,1188.8,-0.0,11.482,45.95,,,,,
T,41.881294095,-103.690847678,1189.1,0.2,11.651,168.25,,,,,
T,41.881878693,-103.692971959,1189.4,0.1,11.839,187.90,,,,,
T,41.882784206,-103.694462411,1189.4,0.0,11.998,159.44,,,,,
T,41.885001505,-103.697792227,1189.4,0.0,12.368,370.19,,,,,
T,41.887256813,-103.701070036,1190.0,0.2,12.738,369.81,,,,,
T,41.893360967,-103.709700665,1192.4,0.2,13.724,986.27,,,,,
T,41.898124927,-103.716491046,1193.4,0.1,14.497,773.00,,,,,
T,41.901307666,-103.720989590,1193.7,0.1,15.011,514.12,,,,,
T,41.907997888,-103.730562620,1196.4,0.2,16.099,1087.72,,,,,
T,41.920579553,-103.748564797,1215.4,0.9,18.144,2045.34,,,,,
T,41.922054544,-103.751134479,1216.0,0.2,18.413,268.85,,,,,
T,41.923650243,-103.754417290,1214.8,-0.4,18.738,324.91,,,,,
T,41.924797586,-103.757380348,1211.0,-1.4,19.015,276.86,,,,,
T,41.925985484,-103.761038545,1207.2,-1.2,19.346,330.88,,,,,
T,41.926862838,-103.764021188,1209.7,0.9,19.612,265.90,,,,,
T,41.927819165,-103.767132824,1217.2,2.7,19.891,279.10,,,,,
T,41.930072184,-103.772422629,1224.3,1.4,20.396,505.10,,,,,
T,41.932026243,-103.776697069,1224.6,0.1,20.812,415.68,,,,,
T,41.936203213,-103.784841400,1225.4,0.1,21.631,819.45,,,,,
T,41.940344737,-103.793073229,1222.0,-0.4,22.454,823.19,,,,,
T,41.941415639,-103.795617104,1214.7,-3.0,22.697,242.18,,,,,
T,41.941849226,-103.796697224,1210.7,-4.0,22.798,101.70,,,,,
T,41.942188688,-103.798497308,1206.2,-2.9,22.952,153.96,,,,,
T,41.942533562,-103.799949666,1204.3,-1.5,23.079,126.38,,,,,
T,41.942793526,-103.801805696,1203.9,-0.3,23.235,156.60,,,,,
T,41.942878585,-103.803368870,1204.1,0.1,23.365,129.97,,,,,
T,41.942826868,-103.806527626,1204.2,0.0,23.627,262.00,,,,,
T,41.942862961,-103.809793501,1204.8,0.2,23.898,270.85,,,,,
T,41.942767664,-103.812547849,1204.5,-0.2,24.127,228.65,,,,,
T,41.942825373,-103.813844472,1204.4,-0.0,24.234,107.71,,,,,
T,41.942810705,-103.815306276,1204.6,0.2,24.356,121.23,,,,,
T,41.942821182,-103.818620732,1205.2,0.2,24.630,274.85,,,,,
T,41.943121925,-103.820121009,1205.2,0.0,24.759,128.82,,,,,
T,41.943853330,-103.821558505,1206.3,0.7,24.903,144.25,,,,,
T,41.944930656,-103.823739141,1207.4,0.5,25.120,216.83,,,,,
T,41.946019717,-103.826280869,1207.5,0.0,25.363,243.01,,,,,
T,41.947615547,-103.830843978,1207.5,0.0,25.781,417.83,,,,,
T,41.949813617,-103.837033846,1207.8,0.0,26.350,568.36,,,,,
T,41.952653574,-103.844393157,1208.0,0.0,27.036,686.90,,,,,
T,41.956850812,-103.855258618,1208.9,0.1,28.051,1014.33,,,,,
T,41.961039836,-103.866125504,1209.7,0.1,29.065,1013.97,,,,,
T,41.963614086,-103.872839911,1211.6,0.3,29.690,625.77,,,,,
T,41.964235688,-103.875581380,1212.9,0.5,29.928,237.52,,,,,
T,41.964319255,-103.878454445,1213.8,0.4,30.166,238.35,,,,,
T,41.964180199,-103.885304052,1212.3,-0.3,30.734,568.02,,,,,
T,41.964068804,-103.891728865,1213.3,0.2,31.267,532.74,,,,,
T,41.963855736,-103.898110092,1213.6,0.1,31.797,529.52,,,,,
T,41.963738892,-103.904799270,1215.0,0.3,32.351,554.67,,,,,
T,41.963693295,-103.907789849,1215.0,-0.0,32.599,247.96,,,,,
T,41.963664964,-103.910666853,1215.6,0.3,32.838,238.52,,,,,
T,41.963608218,-103.915389050,1216.2,0.1,33.229,391.51,,,,,
T,41.963552395,-103.919278672,1215.9,-0.1,33.552,322.50,,,,,
T,41.963535463,-103.920675432,1215.8,-0.0,33.668,115.80,,,,,
T,41.963495566,-103.922585500,1216.0,0.1,33.826,158.40,,,,,
T,41.963467570,-103.925311966,1216.4,0.2,34.052,226.04,,,,,
T,41.963432115,-103.927909099,1216.5,0.1,34.267,215.33,,,,,
T,41.963388445,-103.931157840,1216.7,0.1,34.537,269.36,,,,,
T,41.963369669,-103.933053659,1217.1,0.3,34.694,157.17,,,,,
T,41.963361874,-103.933911966,1217.3,0.2,34.765,71.16,,,,,
T,41.963374531,-103.938201154,1218.3,0.3,35.121,355.57,,,,,
T,41.963343853,-103.940766854,1219.5,0.5,35.333,212.72,,,,,
T,41.963482825,-103.943651486,1220.5,0.4,35.573,239.63,,,,,
T,41.964098224,-103.952095834,1221.3,0.1,36.276,703.35,,,,,
T,41.964378180,-103.955955533,1222.0,0.2,36.598,321.47,,,,,
T,41.964654028,-103.959708782,1222.8,0.3,36.910,312.64,,,,,
T,41.965162307,-103.966528131,1223.4,0.1,37.479,568.11,,,,,
T,41.965923719,-103.976902412,1223.3,-0.0,38.343,864.13,,,,,
T,41.966508860,-103.982502865,1226.4,0.7,38.811,468.77,,,,,
T,41.967432043,-103.986206828,1228.4,0.6,39.135,323.70,,,,,
T,41.967918780,-103.990050182,1228.8,0.1,39.458,323.14,,,,,
T,41.968704835,-103.997765053,1228.2,-0.1,40.104,645.43,,,,,
T,41.969567165,-104.001124771,1230.1,0.6,40.398,294.50,,,,,
T,41.972069247,-104.008227680,1230.6,0.1,41.049,651.05,,,,,
T,41.975540947,-104.017972313,1229.0,-0.2,41.944,895.01,,,,,
T,41.976828240,-104.020248838,1233.1,1.7,42.181,236.74,,,,,
T,41.977206934,-104.020746304,1234.2,1.9,42.240,58.90,,,,,
T,41.978017632,-104.021662781,1240.9,5.7,42.358,117.80,,,,,
T,41.978647280,-104.022328975,1243.9,3.3,42.447,89.10,,,,,
T,41.979068387,-104.022772461,1245.4,2.6,42.506,59.49,,,,,
T,41.979699712,-104.023439074,1247.6,2.4,42.596,89.27,,,,,
T,41.980123920,-104.023885913,1248.4,1.4,42.656,59.93,,,,,
T,41.981617576,-104.025462214,1246.5,-0.9,42.867,211.16,,,,,
T,41.982040778,-104.025914082,1244.7,-3.0,42.927,60.10,,,,,
T,41.982462890,-104.026362682,1245.3,1.0,42.987,59.84,,,,,
T,41.982883746,-104.026808431,1242.6,-4.6,43.046,59.58,,,,,
T,41.983934836,-104.027925152,1238.9,-2.4,43.195,148.98,,,,,
T,41.985200588,-104.029264078,1235.6,-1.9,43.374,179.10,,,,,
T,41.985621527,-104.029711252,1234.0,-2.8,43.434,59.66,,,,,
T,41.986673456,-104.030826967,1232.5,-1.0,43.583,149.00,,,,,
T,41.989968885,-104.033882171,1233.2,0.2,44.028,445.06,,,,,
T,41.993332207,-104.036129527,1233.7,0.1,44.445,417.42,,,,,
T,41.994651267,-104.037363678,1234.7,0.6,44.624,178.67,,,,,
T,41.996561922,-104.039809350,1235.8,0.4,44.918,293.43,,,,,
T,41.997691467,-104.041444240,1235.9,0.0,45.102,184.63,,,,,
T,41.998601994,-104.042969579,1235.4,-0.3,45.264,161.86,,,,,
T,42.000226323,-104.046365591,1233.3,-0.6,45.598,334.24,,,,,
T,42.001883006,-104.050151613,1231.8,-0.4,45.962,363.66,,,,,
T,42.003083294,-104.052785877,1232.5,0.3,46.218,255.74,,,,,
T,42.004221892,-104.054981768,1233.5,0.4,46.439,221.56,,,,,
T,42.004374945,-104.055272369,1233.4,-0.2,46.469,29.47,,,,,
T,42.006321978,-104.059065599,1234.2,0.2,46.850,381.47,,,,,
T,42.008770080,-104.063853342,1235.2,0.2,47.331,480.88,,,,,
T,42.012201296,-104.070561128,1237.5,0.3,48.005,673.80,,,,,
T,42.013832582,-104.073750609,1238.0,0.1,48.325,320.36,,,,,
T,42.015455989,-104.076942271,1237.6,-0.1,48.645,320.01,,,,,
T,42.019796306,-104.085427271,1237.2,-0.0,49.497,852.25,,,,,
T,42.022376005,-104.090904258,1235.5,-0.3,50.034,536.54,,,,,
T,42.025920376,-104.099176442,1236.3,0.1,50.824,790.16,,,,,
T,42.030047374,-104.108761903,1238.2,0.2,51.741,916.66,,,,,
T,42.033453528,-104.116694955,1238.8,0.1,52.499,758.09,,,,,
T,42.037296714,-104.125615647,1239.3,0.1,53.352,853.15,,,,,
T,42.039705841,-104.131232193,1241.3,0.4,53.889,536.55,,,,,
T,42.042831453,-104.138498967,1242.8,0.2,54.583,694.65,,,,,
T,42.046507504,-104.147115732,1242.8,0.0,55.405,821.99,,,,,
T,42.049624901,-104.154399438,1244.4,0.2,56.101,695.35,,,,,
T,42.050569793,-104.156595748,1244.4,-0.0,56.311,209.94,,,,,
T,42.051825821,-104.159524385,1244.3,-0.0,56.590,279.72,,,,,
T,42.053166423,-104.162514377,1244.3,-0.0,56.879,288.86,,,,,
